date,Q_lstm,w_t,P,PET,P7d,P30d,P90d,ASM,BF_proxy,delta_Q,sin_month,cos_month
2008-09-14,-42.710815,-17.305187,-11.406482,2.1740863,3.8269777,14.451912,-13.616665,101.53222,-87.57618,-3.1208434,3.4769971,-5.5898037
2008-09-15,-65.886734,-9.011448,7.5976543,3.0936728,25.532,18.439644,-2.2153788,87.37452,-80.23173,-3.2876606,3.284218,-8.586028
2008-09-16,-44.267685,-18.751177,8.623222,10.821231,33.234726,30.065928,-4.412601,63.297195,-89.23103,99.07777,2.4781904,-6.795879
2008-09-17,-80.25717,-3.7060785,-8.579132,-26.296055,48.77227,18.755772,-11.533088,74.619225,-76.09126,70.44351,2.0576253,-6.7963314
2008-09-18,-78.546295,-5.4768667,-0.5335672,-2.5299082,-2.8342445,23.327248,-6.4402547,64.15986,-90.76197,71.0224,1.3840725,-6.136088
2008-09-19,-62.50332,-0.33022815,-1.5492063,2.696709,-6.92478,12.50905,2.8797402,30.430172,-111.78897,-0.7820084,2.4038095,-9.419461
2008-09-20,-56.089344,-15.997301,-4.5038905,-10.127051,-17.082693,8.990429,-0.8408942,33.765278,-89.63851,-48.308628,0.21601707,-8.081443
2008-09-21,-56.847824,-12.060728,7.948776,2.2975557,-34.55311,20.753597,1.4935647,22.586065,-124.16726,-41.270123,0.21934563,-5.0770125
2008-09-22,-55.177975,-13.368963,-20.73427,-6.431401,-19.02181,3.7864733,-4.0758543,35.727634,-97.73962,-49.38231,0.22853714,-6.483282
2008-09-23,-45.892117,-11.754122,-5.5447516,5.3200097,16.533798,-2.9827516,-6.3064013,21.457605,-103.820045,-40.27731,0.92089385,-9.79963
2008-09-24,-46.49077,-13.549191,-3.8390565,-6.726087,-3.39727,2.4521718,-2.2792394,30.242935,-104.14597,-2.5855596,3.191158,-8.985265
2008-09-25,-52.684875,-10.595708,-17.33754,-7.339982,35.496952,-2.2507484,-3.7879581,37.618095,-94.351616,-5.2516727,3.0435855,-10.063785
2008-09-26,-60.458538,-28.765926,-17.895826,2.9943376,104.83289,-5.2049465,-5.541707,65.36295,-59.43796,-13.3440075,1.1810904,-14.118561
2008-09-27,-57.7541,-22.533863,-36.892345,1.1945772,159.0,22.708773,0.038270317,102.84093,-60.705894,-0.71076506,1.1306653,-12.7154255
2008-09-28,-55.024696,-6.3137155,6.092879,7.021022,190.3397,18.309912,2.1149042,113.018364,-61.93964,2.8223302,2.849799,-12.234839
2008-09-29,-71.471054,-7.9776435,-8.966663,-11.545678,209.10844,27.700487,4.5162907,132.87329,-65.14581,-23.828947,2.6880496,-10.515794
2008-09-30,-44.330917,-28.580278,9.658271,3.0759323,184.77979,26.267311,-0.55807585,109.942635,-54.163944,-26.0781,0.95420915,-10.594045
2008-10-01,-32.26911,-30.210815,0.03281814,-13.684977,161.02165,28.502897,2.7991536,109.09662,-56.964874,-3.6398327,2.4327857,-19.062763
2008-10-02,-31.244,-23.87585,10.2108,-12.829204,123.71232,21.247362,-2.0929983,98.78483,-48.875782,-21.879744,2.327287,-28.558708
2008-10-03,-46.510544,-55.31838,10.95805,5.3432264,92.939125,14.324662,-12.927085,58.184578,-57.393,-27.102818,1.3052615,-41.70663
2008-10-04,-26.987173,-59.55975,-2.7704911,-9.639276,-19.412012,31.845663,-3.3535848,72.64175,-69.83438,-49.002583,1.9558346,-21.452116
2008-10-05,-4.8038774,-63.016045,8.455543,-8.991034,-28.835144,53.706875,9.405235,90.03687,-72.069916,-16.560991,2.0459044,-22.59227
2008-10-06,-32.31931,-62.946133,-6.058019,-7.5421696,-42.642532,23.395317,6.808181,69.280876,-83.737015,-1.4914308,1.3127782,-19.842035
2008-10-07,-34.996296,-31.831516,14.1115885,-7.7475123,-40.27409,32.83785,10.705396,31.670156,-109.26498,-1.2885917,2.5456011,-11.92861
2008-10-08,-38.30761,-32.84906,8.113272,-2.6676335,-48.83126,28.812504,11.931006,22.673813,-122.61558,1.2582078,2.4227948,-11.051547
2008-10-09,-48.281387,-33.598175,-5.5415974,-4.491622,-51.398582,16.690363,6.2817373,11.707695,-127.74213,8.86914,2.2584803,-11.846046
2008-10-10,-41.25396,-29.37416,5.4696355,10.655041,-60.071014,38.234623,5.471446,-10.009147,-119.130424,46.114655,3.3838332,-8.559599
2008-10-11,-55.055862,-26.497213,-2.6548076,-0.7969634,-61.711914,38.841496,-1.0599046,-11.976575,-124.51733,35.389816,3.9275777,-8.773971
2008-10-12,-57.251213,-23.341492,-23.229635,-4.721616,-29.77317,31.538082,5.1170583,5.1692924,-118.42306,5.177304,3.1096973,-11.797457
2008-10-13,-62.711178,-19.220995,5.526548,-5.0015287,-49.088394,33.949497,6.6300673,1.7549158,-127.8565,3.1614294,4.8674526,-10.603893
2008-10-14,-61.807854,-18.98456,6.8663335,-5.0542736,-38.31492,29.798944,7.0760217,3.5546143,-128.13799,1.0892804,4.4909806,-10.714043
2008-10-15,-57.42102,-18.270315,-4.167606,-4.5675526,-27.931808,33.702763,6.990239,2.226502,-126.8066,-4.7547436,4.8027353,-11.047839
2008-10-16,-46.325924,-23.964296,-15.714382,-7.3691125,-16.048136,26.80965,9.1108265,0.9490922,-105.16956,-46.72648,5.0102167,-13.1117735
2008-10-17,-41.397873,-21.120852,3.5886338,-11.89439,-10.800288,29.00165,7.7590957,-3.006096,-113.9764,-43.784626,5.0069017,-13.383898
2008-10-18,-36.281124,-24.337862,6.33435,-1.1201465,-24.38276,27.176214,11.709017,-2.1907403,-112.923706,-43.843987,4.3503942,-12.072303
2008-10-19,-36.85083,-24.990347,4.345186,-5.7086186,-48.955032,30.543863,9.836599,-29.242601,-109.2799,-40.37401,3.4253008,-10.984418
2008-10-20,-44.50244,-23.19993,3.990697,-5.4988923,-54.112274,29.51027,10.881447,-45.88293,-108.22784,-39.024284,3.418924,-10.980753
2008-10-21,-49.542107,-28.537289,6.9176617,-2.4402494,-58.077362,27.702423,10.062596,-55.731308,-98.89338,-46.397537,2.9754305,-10.493816
2008-10-22,-40.446556,-27.07227,6.420923,-6.3126583,-59.736862,3.235846,10.1152725,-68.18991,-104.06549,-39.1793,2.8807156,-9.0329895
